"KOHEZIJSKA IN STATISTIÈNA REGIJA","2008 Prihodek (1000 EUR)","2009 Prihodek (1000 EUR)","2010 Prihodek (1000 EUR)","2011 Prihodek (1000 EUR)","2012 Prihodek (1000 EUR)","2013 Prihodek (1000 EUR)","2014 Prihodek (1000 EUR)","2015 Prihodek (1000 EUR)","2016 Prihodek (1000 EUR)","2017 Prihodek (1000 EUR)","2018 Prihodek (1000 EUR)","2019 Prihodek (1000 EUR)"
"SLOVENIJA",95786283,83060213,86705208,90789676,90754575,90625516,93571789,95298760,98573630,108840205,117040613,121356615
"Pomurska",2680296,2300870,2305183,2465323,2615038,2586958,2859624,2664445,2836447,3085418,3293241,3457867
"Podravska",10955343,9192508,9632119,10092169,9865530,9921339,10293276,10345996,10451382,11338221,12171082,12563498
"Koroška",2283659,1752657,1840289,2058028,2020408,1955143,2021142,2074703,2140636,2371561,2506426,2541586
"Savinjska",10013476,8684503,8973185,9552070,9211070,9231084,9376784,9262353,9600906,10569994,11176914,11713716
"Zasavska",926541,805109,819967,853627,810821,768467,744714,948515,1007416,1070188,1172746,1240596
"Posavska",2049176,2000585,2155739,2689568,3172289,2934390,3031201,3620580,3587313,4518845,4678364,4565657
"Jugovzhodna Slovenija",5961848,5422208,5728914,5685052,5445191,5153151,5452398,5692304,5980393,7049338,7740497,8066922
"Primorsko-notranjska",1303637,1120466,1209092,1278751,1255416,1299627,1431246,1469335,1467986,1526911,1654815,1628734
"Osrednjeslovenska",42402572,37744272,39188143,40716581,41309817,41831525,42837607,43414618,45134702,49305366,53286031,55552497
"Gorenjska",7185299,5822294,6213259,6437933,6457668,6340948,6700736,6822608,7074340,7755200,8405345,8771500
"Goriška",4448113,3670648,3885528,4028942,3838306,3709793,3852122,3963455,4122753,4628201,4725204,4954688
"Obalno-kraška",5576322,4544093,4753789,4931630,4753021,4893091,4970941,5019848,5169354,5620960,6229948,6299354
