"STATISTIÈNA REGIJA STALNEGA BIVALIŠÈA","2007/08 Število študentov na 1.000 prebivalcev","2008/09 Število študentov na 1.000 prebivalcev","2009/10 Število študentov na 1.000 prebivalcev","2010/11 Število študentov na 1.000 prebivalcev","2011/12 Število študentov na 1.000 prebivalcev","2012/13 Število študentov na 1.000 prebivalcev","2013/14 Število študentov na 1.000 prebivalcev","2014/15 Število študentov na 1.000 prebivalcev","2015/16 Število študentov na 1.000 prebivalcev","2016/17 Število študentov na 1.000 prebivalcev","2017/18 Število študentov na 1.000 prebivalcev","2018/19 Število študentov na 1.000 prebivalcev"
"Pomurska",45,46,48,45,45,44,40,36,33,33,31,30
"Podravska",49,49,50,46,44,43,40,37,35,34,32,31
"Koroška",58,59,57,56,53,49,47,43,39,38,37,36
"Savinjska",57,58,58,54,51,49,46,42,39,38,36,35
"Zasavska",53,52,50,48,49,44,40,38,36,36,35,35
"Posavska",55,57,56,53,50,48,44,41,38,37,34,32
"Jugovzhodna Slovenija",58,59,59,56,54,52,48,44,41,38,36,35
"Osrednjeslovenska",61,58,57,53,50,49,45,42,39,39,38,36
"Gorenjska",60,58,57,53,52,48,45,42,39,38,36,35
"Primorsko-notranjska",59,57,57,51,51,46,43,39,37,36,34,34
"Goriška",59,60,59,55,54,51,48,45,42,41,40,38
"Obalno-kraška",52,51,50,43,41,40,36,33,32,31,29,28
